id,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h,last_updated,time_stamp
neo,NEO,16.09,1137062075,40708611.0,17.06,16.08,-0.75686,2025-01-07T12:32:13.625Z,07-01-2025_18-11-46
bio-protocol,Bio Protocol,0.699937,1128247594,257003217.0,0.744002,0.686299,-4.17966,2025-01-07T12:32:17.505Z,07-01-2025_18-11-46
coredaoorg,Core,1.21,1126773874,63574294.0,1.3,1.2,0.35051,2025-01-07T12:32:19.047Z,07-01-2025_18-11-46
axie-infinity,Axie Infinity,6.99,1100962099,135631191.0,7.43,6.99,-1.96608,2025-01-07T12:32:18.315Z,07-01-2025_18-11-46
helium,Helium,6.19,1089754845,13851269.0,6.67,6.18,-4.89254,2025-01-07T12:32:11.046Z,07-01-2025_18-11-46
susds,sUSDS,1.024,1085516479,44601.0,1.053,1.018,-0.11164,2025-01-07T12:32:16.629Z,07-01-2025_18-11-46
aerodrome-finance,Aerodrome Finance,1.46,1073195606,42766363.0,1.52,1.46,-0.91118,2025-01-07T12:32:16.155Z,07-01-2025_18-11-46
decentraland,Decentraland,0.557416,1041066607,85305418.0,0.597248,0.556896,-2.88017,2025-01-07T12:32:19.157Z,07-01-2025_18-11-46
elrond-erd-2,MultiversX,37.33,1038891413,35350062.0,39.26,37.32,-2.14476,2025-01-07T12:32:20.607Z,07-01-2025_18-11-46
mog-coin,Mog Coin,2.58e-06,1009387170,31709213.0,2.93e-06,2.58e-06,-9.9325,2025-01-07T12:32:14.667Z,07-01-2025_18-11-46
matic-network,Polygon,0.511786,989347599,6488625.0,0.535649,0.511595,-1.52016,2025-01-07T12:32:12.909Z,07-01-2025_18-11-46
binance-peg-dogecoin,Binance-Peg Dogecoin,0.385193,988420368,6775405.0,0.396311,0.383052,-0.01714,2025-01-07T12:32:17.530Z,07-01-2025_18-11-46
solv-protocol-solvbtc-bbn,Solv Protocol SolvBTC.BBN,95316.0,957725570,1440996.0,100407.0,93970.0,-0.93468,2025-01-07T12:32:15.706Z,07-01-2025_18-11-46
apecoin,ApeCoin,1.31,949066197,175729071.0,1.4,1.31,-2.91573,2025-01-07T12:32:16.589Z,07-01-2025_18-11-46
akash-network,Akash Network,3.75,928970364,36236419.0,3.98,3.71,-0.38295,2025-01-07T12:32:16.929Z,07-01-2025_18-11-46
dexe,DeXe,15.95,911485678,14022955.0,16.46,15.88,-2.14628,2025-01-07T12:32:19.359Z,07-01-2025_18-11-46
zcash,Zcash,56.91,901564083,52258623.0,61.3,56.52,-3.52566,2025-01-07T12:32:20.258Z,07-01-2025_18-11-46
jito-governance-token,Jito,3.23,899401463,59917681.0,3.26,3.11,3.27021,2025-01-07T12:32:17.085Z,07-01-2025_18-11-46
